Unnamed: 0,recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
10,Apple Turnovers,30 minutos,25 minutos,55 minutos,8,8 turnos,"2 cucharadas de jugo de limón, 4 tazas de agua, 4 manzanas de Granny Smith - pelado, cored y rebanado, 2 cucharadas de mantequilla, 1 taza de azúcar marrón, 1 cucharadita de canela de tierra, 1 cucharada de maíz, 1 cucharada de agua, 1 (17.25 onza) paquete de pasta de manguito congelado, descongelado, 1 taza de azúcar de los confesioneros, 1 cucharadita de té","Combine el limón y 4 tazas de agua en un tazón grande. Coloque las manzanas cortadas en el agua para evitar que se doren.
Derretir la mantequilla en una sartén grande a fuego medio. Dibuja agua de manzanas, y ponlas en la sartén caliente. Cocinar y revolver durante unos 2 minutos. Añadir azúcar morena, y canela, y cocinar, revolviendo, por 2 minutos más. Reúne el almidón de maíz y 1 cucharada de agua. Vierta en la sartén, y mezcla bien. Cocinar por otro minuto, o hasta que la salsa se haya espesado. Retire del calor para enfriar ligeramente.
Precaliente el horno a 400 grados F (200 grados C).
Desarrollar hojas de pastelería, y reparar cualquier grieta presionando de nuevo juntos. Trim cada hoja en un cuadrado. Luego cortar cada cuadrado más grande en 4 plazas más pequeñas. Manzanas de cuchara en el centro de cada cuadrado. Doble de la esquina a la esquina en forma de triángulo, y presione los bordes juntos para sellar. Coloque las monedas en una hoja de hornear, dejando alrededor de 1 pulgada entre ellos.
Hornea durante 25 minutos en el horno precalentado, hasta que las balsas estén hinchadas y ligeramente doradas. Genial completamente antes del acristalamiento.
Para hacer el esmalte, mezcla el azúcar, la leche y la vainilla de los conserjes en un tazón pequeño. Ajuste el grosor añadiendo más azúcar o leche si es necesario. Deslumbrar el esmalte sobre las ganancias refrigeradas.











Dotdash Meredith Food Studios",4.6,https://www.allrecipes.com/recipe/59124/apple-turnovers/,/Desserts/Fruit Desserts/Apple Dessert Recipes/,"Total Fat 26g 33%, Saturated Fat 8g 39%, Cholesterol 8mg 3%, Sodium 184mg 8%, Total Carbohydrate 80g 29%, Dietary Fiber 2g 9%, Total Sugars 50g, Protein 5g, Vitamin C 5mg 26%, Calcium 42mg 3%, Iron 2mg 11%, Potassium 161mg 3%","Tiempo de preparación: 30 minutos, Tiempo de cocción: 25 minutos, Tiempo total: 55 minutos, Serviciones: 8, Rendimiento: 8 turnos",https://www.allrecipes.com/thmb/6EpK8eOrDHd4MMlY4u4aXTOPtHA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/59124-AppleTurnovers-mfs-2X3-1645-dea040eab9a84c7483c411988b92d134.jpg
11,Apple Crisp - Perfecto y fácil,20 minutos,40 minutos,1 hrs,6,1 plato cuadrado de 8 pulgadas,"2 1⁄2 tazas de manzanas - pelado, cortado y rebanado, 1 taza de harina de todo uso, 1 taza de azúcar blanco, 1⁄2 cucharadita de canela, 1⁄4 de cucharadita de sal, 1⁄2 taza de mantequilla, suavizado","Precaliente el horno a 375 grados F (190 grados C). Engrasar ligeramente un plato de horneado cuadrado de 8 pulgadas.
Arregla las rodajas de manzana uniformemente en el plato de hornear preparado. Harina, azúcar, canela y sal en un tazón. Cortar la mantequilla usando una batidora de pasta, o 2 cuchillos, hasta que la mezcla se asemeja a la corneta gruesa; rociar sobre las manzanas.
Hornea en el horno precalentado hasta que el topping sea dorado, de 40 a 45 minutos. Genial un poco antes de servir.











naples34102",4.7,https://www.allrecipes.com/recipe/229274/apple-crisp-perfect-and-easy/,/Desserts/Crisps and Crumbles Recipes/Apple Crisps and Crumbles Recipes/,"Total Fat 16g 20%, Saturated Fat 10g 49%, Cholesterol 41mg 14%, Sodium 207mg 9%, Total Carbohydrate 56g 20%, Dietary Fiber 2g 6%, Total Sugars 38g, Protein 2g, Vitamin C 2mg 11%, Calcium 13mg 1%, Iron 1mg 6%, Potassium 77mg 2%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 40 minutos, Tiempo total: 1 hrs, Servings: 6, Yield: 1 plato cuadrado de 8 pulgadas",https://www.allrecipes.com/thmb/hPRM3eLo_H-Z2kSeRRizL0El3ao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1046883-apple-crisp-perfect-and-easy-naples34102-e505af44f7d9409ba48fc00e15efa036.jpeg
12,Las mejores manzanas Caramel,15 minutos,30 minutos,2 hrs 15 mins,8,,"8 manzanas de tarta grandes, 8 palillos de madera para mangos, 2 tazas de azúcar marrón empaquetado, 1 (14 onza) puede endulzar la leche condensada, 1 taza de jarabe de maíz ligero, 1 taza de mantequilla, 2 cucharaditas extracto de vainilla","Llevar una gran cacerola de agua a hervir. Manzanas cortadas en agua hirviendo durante unos segundos, utilizando una cuchara ranurada, luego seca con toallas de papel para quitar cualquier cera de los tacos. Ponga las manzanas a un lado para enfriar completamente, unos 30 minutos.
Insertar palos en el fondo de cada manzana refrigerada a través del núcleo para un mango.
Línea una hoja de horneado con papel de pergamino.
Azúcar marrón, leche condensada endulzada, jarabe de maíz y mantequilla juntos en una cacerola a fuego medio-alto. Poner a hervir, revolver constantemente, luego reducir el calor a medio. Cocinar hasta que un termómetro de caramelo lea 248 grados F (120 grados C), revolviendo constantemente para prevenir la quema, unos 25 a 30 minutos. Una cucharadita de caramelo cayó en un vaso de agua fría, debe formar una bola firme. Quitar el caramelo del calor y revolver en el extracto de vainilla.
Trabajando rápidamente, sumergir cada manzana en el caramelo caliente para cubrir completamente la manzana y alrededor de 1/2 pulgada de la manija de madera. Espolvorear manzanas con cualquier topping deseado mientras todavía caliente. Deja que las manzanas caramelo se enfríen en la hoja de horneado preparada, alrededor de 1 hora. Tenga cuidado, el caramelo está muy caliente.",4.5,https://www.allrecipes.com/recipe/228210/the-best-caramel-apples/,/Dessertos/Recetas de postres especiales/Recetas de Apple de cartón/,"Total Fat 28g 35%, Saturated Fat 17g 87%, Cholesterol 78mg 26%, Sodium 269mg 12%, Total Carbohydrate 142g 51%, Dietary Fiber 5g 18%, Total Sugars 113g, Protein 5g, Vitamin C 11mg 55%, Calcium 210mg 16%, Iron 1mg 4%, Potassium 491mg 10%","Tiempo de preparación: 15 minutos, Tiempo de cocción: 30 minutos, Tiempo adicional: 1 hrs 30 minutos, Tiempo total: 2 hrs 15 mins, Servings: 8",https://www.allrecipes.com/thmb/8WP_nMIwgAzfbycBFQYUMEoBkfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5939512-2a490b670e524c628534909ed0af4842.jpg
13,Mulligatawny Soup,20 minutos,1 hrs,1 hrs 20 mins,6,,"1⁄2 taza de cebolla picada, 2 tallos de apio, picado, 1 zanahoria, picado, 1⁄4 de taza de mantequilla, 1 1⁄2 cucharadas de harina de todo uso, 1 1⁄2 cucharaditas de polvo de curry, 4 tazas de caldo de pollo, 1⁄2 manzana, picado y picado, 1⁄4 taza de arroz blanco, 1 sin piel, sin huesos de pollo seca mitad - cortar en tocino","Derretir mantequilla en una gran olla de sopa a fuego medio. Añadir cebollas, apio y zanahoria y saltear hasta que estén suaves, de 5 a 7 minutos. Añadir harina y curry, y cocinar 5 minutos más, revolviendo con frecuencia. Añadir caldo de pollo, mezclar bien, y traer a hervir. Reduzca el calor y el martillo durante unos 30 minutos.
Añadir manzana, arroz, pollo, tomillo, sal y pimienta. Sumergir hasta que el arroz sea tierno, de 15 a 20 minutos.
Justo antes de servir, revuelva en crema caliente.











TheBritishBaker",4.8,https://www.allrecipes.com/recipe/13087/mulligatawny-soup-i/,"/Sopas, Mandíbulas y Recetas de Chili/Recetas de sopa/Recetas de sopa para niños/","Total Fat 16g 20%, Saturated Fat 10g 48%, Cholesterol 62mg 21%, Sodium 734mg 32%, Total Carbohydrate 14g 5%, Dietary Fiber 1g 5%, Total Sugars 3g, Protein 7g, Vitamin C 3mg 15%, Calcium 38mg 3%, Iron 1mg 6%, Potassium 186mg 4%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 1 hrs, Tiempo total: 1 hrs 20 mins, Servings: 6",https://www.allrecipes.com/thmb/c5rvXd4iW32dqTECe4PNisvQVDQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/804799-33945c287a0d46b4acce8f0247ebf88c.jpg
14,Manzanas salteadas,5 minutos,15 minutos,20 minutos,8,4 tazas,"1⁄4 taza de mantequilla, 4 manzanas de tarta grandes - pelado, cortado y rebanado 1/4 pulgada de espesor, 1⁄2 taza de agua fría, 2 cucharaditas de maíz almidón, 1⁄2 taza de azúcar marrón, 1⁄2 cucharadita de canela","Derretir mantequilla en una sartén grande o cacerola a fuego medio; añadir manzanas y cocinar, revolviendo constantemente, hasta casi tierno, de 6 a 7 minutos.
Mezcle el agua y el almidón de maíz juntos en un tazón pequeño hasta que se disuelva el almidón de maíz; vierta sobre las manzanas. Corta el azúcar moreno y la canela. Poner a hervir durante 2 minutos, revolviendo ocasionalmente. Retire del calor y sirva caliente.











estudios de comida meredith",4.8,https://www.allrecipes.com/recipe/21672/sauteed-apples/,/Side Dish/,"Total Fat 6g 8%, Saturated Fat 4g 19%, Cholesterol 15mg 5%, Sodium 45mg 2%, Total Carbohydrate 24g 9%, Dietary Fiber 3g 9%, Total Sugars 20g, Protein 0g, Vitamin C 5mg 25%, Calcium 18mg 1%, Iron 0mg 1%, Potassium 128mg 3%","Tiempo de preparación: 5 minutos, Tiempo de cocción: 15 minutos, Tiempo total: 20 minutos, Serviendo: 8, Rendimiento: 4 tazas",https://www.allrecipes.com/thmb/pTjoToZum_x5Ki9khNk_SSe7MEs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21672-SauteedApples-ddmfs-1X1-0061-fe2952cf8a6148959bd0076742996deb.jpg
15,Sidra de manzana casera,15 minutos,3 hrs,7 hrs 15 mins,16,1 galón,"10 manzanas grandes, acuarteladas, agua, para cubrir, 3⁄4 taza de azúcar blanco, 1 cucharada de canela de tierra, 1 cucharada de tierra allspice","Colocar manzanas en un depósito grande; cubrir con agua por lo menos 2 pulgadas. Corta el azúcar, la canela y la pizca. Poner a hervir a fuego medio-alto. Boil, descubierto, por 1 hora. Reducir el calor; cubrir y sumergir durante 2 horas.
Mezcla de manzana estrada a través de un tamiz fino; descarte sólidos. Sidra de nuevo a través de un tamiz de queso.
Refrigerar la sidra hasta el frío, aproximadamente 4 horas.











LaDonna Langwell",4.4,https://www.allrecipes.com/recipe/211772/homemade-apple-cider/,/Bebidas Recetas / Recetas de Jugo /,"Total Fat 0g 0%, Sodium 1mg 0%, Total Carbohydrate 22g 8%, Dietary Fiber 2g 9%, Total Sugars 18g, Protein 0g, Vitamin C 4mg 21%, Calcium 12mg 1%, Iron 0mg 1%, Potassium 98mg 2%","Tiempo de preparación: 15 minutos, Tiempo de cocción: 3 hrs, Tiempo adicional: 4 hrs, Tiempo total: 7 hrs 15 min, Servings: 16, Yield: 1 galón",https://www.allrecipes.com/thmb/M0dm6zV9huJMIy70_9np9ztM4Sw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Homemade-Apple-Cider-LaDonna-Langwell-1x1-1-a6afe5b44bd246d39e597ed59281bbd5.jpg
16,Relleno de piezas de Apple enlatado,30 minutos,10 minutos,1 hrs,56,7 cuartos,"4 1⁄2 tazas de azúcar blanco, 1 taza de almidón de maíz, 2 cucharaditas de canela de tierra, 1⁄4 cucharadita de nuez molida, 10 tazas de agua, 2 cucharaditas de sal, 3 cucharadas de jugo de limón, 2 gotas de alimentos amarillos para colorear, 6 libras manzanas","Mezcla azúcar, almidón de maíz, canela y nuez moscada en una sartén grande. Añadir agua y sal y mezclar bien. Traiga a hervir y cocine hasta que sea grueso y suave. Retire del calor y agregue jugo de limón y la coloración de alimentos.
Esterilizar los frascos, tapas y anillos hirviéndolos en una gran olla de agua.
Peel, núcleo y manzanas cortadas. Empaque las manzanas cortadas en tarros calientes, dejando un espacio de 1/2 pulgada.
Llene los frascos con jarabe caliente, y remueva suavemente las burbujas de aire con un cuchillo.
Poner tapas y procesar en una caja de agua durante 20 minutos.",4.5,https://www.allrecipes.com/recipe/15942/canned-apple-pie-filling/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 0g 0%, Sodium 85mg 4%, Total Carbohydrate 25g 9%, Dietary Fiber 1g 4%, Total Sugars 21g, Protein 0g, Vitamin C 3mg 13%, Calcium 5mg 0%, Iron 0mg 1%, Potassium 54mg 1%","Tiempo de preparación: 30 minutos, Tiempo de cocción: 10 minutos, Tiempo adicional: 20 minutos, Tiempo total: 1 hrs, Servings: 56, Yield: 7 quarts",https://www.allrecipes.com/thmb/qcarmR-fmWcDZGS8BGjP51tm9Eg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1426682-1c6ec83bc56b426b9d812e0a26b1a739.jpg
17,Pie de manzana fácil,20 minutos,40 minutos,1 hrs,8,1 pastel de 9 pulgadas,"1 (14.1 onza) paquete de pasta para una tarta de doble corte de 9 pulgadas, 3⁄4 taza de azúcar blanco, o más al gusto, 1 cucharadita de canela de suelo, 6 tazas de manzana cortada finamente, 1 cucharada de mantequilla","Precaliente el horno a 450 grados F (230 grados C).
Línea un plato de tarta de 9 pulgadas con una corteza de pasta; reserve el segundo.
Combine 3/4 taza de azúcar y canela en un tazón pequeño. Añade más azúcar si tus manzanas son tarta.
Rebanadas de manzana de capa en el plato de pastel preparado, rociando cada capa con mezcla de canela-azúcar. Capa superior de punto con pequeños pedazos de mantequilla. Cubrir con la corteza superior.
Hornear por 10 minutos. Reduzca la temperatura del horno a 350 grados F (175 grados C) y continúe horneando hasta que se doren y llenen burbujas, de 30 a 35 minutos más. Servir caliente o frío.











estudios de comida meredith",4.6,https://www.allrecipes.com/recipe/12324/apple-pie-i/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 9g 12%, Saturated Fat 3g 14%, Cholesterol 4mg 1%, Sodium 128mg 6%, Total Carbohydrate 42g 15%, Dietary Fiber 3g 11%, Total Sugars 29g, Protein 2g, Vitamin C 4mg 22%, Calcium 11mg 1%, Iron 1mg 4%, Potassium 117mg 2%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 40 minutos, Tiempo total: 1 hrs, Serviciones: 8, Rendimiento: 1 pastel de 9 pulgadas",https://www.allrecipes.com/thmb/aZyGZaTNLn-ewSEGDwwmEOwrRNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12324-EasyApplePie-ddmfs-1x1-0016-c0401f8117954ba9a03c62ebba7f16af.jpg
18,Apple Crumb Pie,30 minutos,50 minutos,1 hrs 20 mins,8,1 pastel de 9 pulgadas,"6 tazas de manzana rebanada finamente, 1 cucharada de jugo de limón (Opcional), 3⁄4 taza de azúcar blanco, 2 cucharadas de harina de todo uso, 1⁄2 cucharadita de canela de tierra, 1⁄8 taza de cucharadita de nuez molida, 1⁄2 taza de raisinas de azúcar (Opcional), 1⁄2 taza de nueces picadas (Opcional), 1 9 cucharada de harina de media","Precaliente el horno a 375 grados F (190 grados C).
Colocar manzanas cortadas en un tazón grande; rociar con jugo de limón. Mezcle el azúcar blanco, 2 cucharadas de harina, canela y nuez moscada en un tazón pequeño; espolvoree la mezcla sobre manzanas y el culo hasta que se recubre uniformemente. Escapar en pasas y nueces; transferir mezcla a la cáscara de tarta.
Mezcle 1/2 taza de harina y azúcar marrón juntos en un tazón pequeño. Mezcle la mantequilla con un tenedor hasta que la mezcla sea crumbly; espolvoree sobre el relleno de manzana. Cubrir la parte superior de la tarta con lámina de aluminio.
Hornea en el horno precalentado durante 25 minutos. Retire la lámina y hornee hasta que la parte superior sea marrón dorado y el relleno es bública, unos 25 a 30 minutos más. Enfriar en un bastidor de alambre antes de servir.",4.7,https://www.allrecipes.com/recipe/15587/apple-crumb-pie/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 15g 19%, Saturated Fat 4g 20%, Cholesterol 11mg 4%, Sodium 139mg 6%, Total Carbohydrate 70g 25%, Dietary Fiber 4g 13%, Total Sugars 49g, Protein 4g, Vitamin C 6mg 28%, Calcium 37mg 3%, Iron 1mg 8%, Potassium 261mg 6%","Tiempo de preparación: 30 minutos, Tiempo de cocción: 50 minutos, Tiempo total: 1 hrs 20 minutos, Actuaciones: 8, Rendimiento: 1 pastel de 9 pulgadas",https://www.allrecipes.com/thmb/3qY9aBqD34LmSObh2KKQZatIjE8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15587-apple-crumb-pie-ddmfs-4x3-1-dc4ac2e030e04d60a7650ede077f3c45.jpg
19,Manzanas Caramel,8 minutos,2 minutos,25 minutos,6,6 manzanas de caramelo,"6 manzanas, 6 palos artesanales de madera, pulverizador de cocina, 1 paquete (14 onzas) envuelto individualmente caramelos, sin rociar, 2 cucharadas de leche","Retire el tallo de cada manzana y presione un palo artesanal en la parte superior. Rocíe una hoja de horneado con spray de cocina.
Coloque caramelos y leche en un tazón seguro de microondas; microondas durante 2 minutos, revolviendo una vez. A un lado para enfriar brevemente.
Enrolle cada manzana rápidamente en salsa de caramelo hasta que esté bien recubierta. Coloque la hoja preparada para establecer.",4.4,https://www.allrecipes.com/recipe/21130/caramel-apples/,/Dessertos/Recetas de postres especiales/Recetas de Apple de cartón/,"Total Fat 6g 7%, Saturated Fat 2g 9%, Cholesterol 5mg 2%, Sodium 164mg 7%, Total Carbohydrate 70g 25%, Dietary Fiber 3g 12%, Total Sugars 57g, Protein 4g, Vitamin C 7mg 33%, Calcium 104mg 8%, Iron 0mg 2%, Potassium 295mg 6%","Tiempo de preparación: 8 minutos, Tiempo de cocción: 2 minutos, Tiempo adicional: 15 minutos, Tiempo total: 25 minutos, Servings: 6, Rendimiento: 6 manzanas de caramelo",https://www.allrecipes.com/thmb/Gc2LqawZpqaCSWaMdsNx5RK9J2Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/481786-6c24ca3a641f43eea1597930a40b6178.jpg
20,Pastel de manzana alemán,15 minutos,45 minutos,1 hrs,24,1 pastel de 9x13 pulgadas,"1 taza de aceite vegetal, 2 huevos, 2 tazas de azúcar blanco, 1 extracto de vainilla de cucharadita, 2 tazas de harina de todo uso, 2 cucharaditas de canela de tierra, 1 cucharadita de bicarbonato de sodio, 1⁄2 cucharadita de sal, 4 tazas de manzana - pelado, corcho y dados","Precaliente el horno a 350 grados F (175 grados C). Grasa y harina una sartén de 9x13 pulgadas.
Batir el aceite y los huevos en un tazón de mezcla con una mezcla eléctrica hasta que esté cremoso. Añadir azúcar y vainilla; batir bien.
Reúne la harina, la canela, hornear la soda y la sal en un tazón. Agregue lentamente la mezcla de harina a la mezcla de huevo; mezcla hasta que se combine. El bateador será muy grueso. Doble en manzanas a mano con una cuchara de madera. Difundir el bateador en la sartén preparada.
Hornear el pastel en el horno precalentado hasta que un palillo insertado en el centro salga limpio, unos 45 minutos. Pastel fresco en un basurero de alambre.",4.6,https://www.allrecipes.com/recipe/7915/german-apple-cake-i/,/Cuisine/European/German/,"Total Fat 10g 12%, Saturated Fat 1g 7%, Cholesterol 16mg 5%, Sodium 107mg 5%, Total Carbohydrate 28g 10%, Dietary Fiber 1g 3%, Total Sugars 19g, Protein 2g, Vitamin C 1mg 5%, Calcium 7mg 1%, Iron 1mg 3%, Potassium 41mg 1%","Tiempo de preparación: 15 minutos, Tiempo de cocción: 45 minutos, Tiempo total: 1 hrs, Serviciones: 24, Rendimiento: 1 9x13 pulgadas pastel",https://www.allrecipes.com/thmb/u5wGUc1jJfOfLV8eG9Fl87sTyEk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2327614-809148baeed6489bbab268a7d527a08a.jpg
21,"Awesome Sausage, Apple y Cranberry Stuffing",15 minutos,15 minutos,1 hrs 30 mins,10,,"3⁄4 tazas de pan blanco cubo, 1 1⁄2 tazas de pan de trigo entero cubo, 1 salchicha de pavo molido, 1 taza de cebolla picada, 3⁄4 taza de apio picado, 2 1⁄2 cucharaditas de salvia seca, 1 1⁄2 cucharaditas de romero secado, 1⁄2 cucharadita de cucharilla seca de tomillo, 1 taza de oro","Precaliente el horno a 350 grados F (175 grados C).
Esparce cubos de pan de trigo blanco y entero en una sola capa sobre una gran hoja de horneado.
Hornee en el horno precalentado hasta que tostado uniformemente, de 5 a 7 minutos. Transfer tostado cubos de pan a un tazón grande.
Cocine salchichas y cebollas en una sartén grande a fuego medio, revolviendo y rompiendo bultos, hasta que se doren uniformemente, de 6 a 8 minutos. Añadir apio, salvia, romero y tomillo; cocinar y revolver hasta que los sabores se mezclan, unos 2 minutos.
Vierta mezcla de salchichas sobre el pan en el tazón. Mezcla en manzana picada, cangrejos secos, perejil y hígado. Deslumbrar con caldo de pavo y mantequilla fundida; mezclar ligeramente.
Permite que el relleno se enfríe completamente antes de rellenar un pavo.











Dotdash Meredith Food Studios",4.8,https://www.allrecipes.com/recipe/13651/awesome-sausage-apple-and-cranberry-stuffing/,/Side Dish/Stuffing and Dressing Recipes/Sausage Stuffing and Dressing Recipes/,"Total Fat 12g 15%, Saturated Fat 5g 25%, Cholesterol 80mg 27%, Sodium 548mg 24%, Total Carbohydrate 22g 8%, Dietary Fiber 2g 8%, Total Sugars 9g, Protein 13g, Vitamin C 9mg 44%, Calcium 47mg 4%, Iron 3mg 17%, Potassium 268mg 6%","Tiempo de preparación: 15 minutos, Tiempo de cocción: 15 minutos, Tiempo adicional: 1 hrs, Tiempo total: 1 hrs 30 minutos, Servings: 10",https://www.allrecipes.com/thmb/A16n6yykk6y6ofEi8akwV-6V9Ck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1x1-PASSANO_ALR0922_Faves_Stuffing_5279-7495521ab45c4b8880373657bedc0db5.jpg
22,Pies de mano de Apple,25 minutos,35 minutos,1 hrs 15 mins,4,4 pies de mano,"2 cucharadas de mantequilla, 2 manzanas verdes grandes - peladas, cortadas y cortadas en trozos, 2 cucharadas de azúcar morena, 1⁄4 taza de azúcar blanca, 1⁄4 de cucharadita de sal, 1 1⁄2 cucharaditas de canela de tierra, o para degustar, 1 cucharadita de agua, o más si es necesario (Opcional), 1 libra preparada masa de pastel, cortada en 4 piezas de té, 1 cucharadita","Derretir la mantequilla en una sartén grande a fuego medio; dejar la mantequilla marrón a un color dorado claro y oler tostado, alrededor de 1 minuto. Pulgar manzanas en mantequilla caliente; espolvorear con 1/4 taza de azúcar blanca, azúcar marrón y sal. Cocinar y agitar la mezcla de manzana hasta que las manzanas se suavicen, unos 5 minutos. Mezclar en canela y agua; continuar cocinando hasta que las manzanas sean suaves y pegajosas, 1 a 2 minutos más. Esparce manzana llenando sobre un plato para enfriar.
Precaliente el horno a 400 grados F (200 grados C). Línea una hoja de horneado con una estera de silicona o papel de pergamino.
Forma una pieza de masa en una bola, coloca sobre una superficie de trabajo harina, y enrolla en un círculo de 8 pulgadas de diámetro. 1/3 a 1/2 taza de manzana llenado en el centro. Doble la masa sobre el relleno, dejando aproximadamente 1 pulgada de masa en el lado inferior visible debajo del lado superior. Pulsa suavemente la masa cerrada alrededor del relleno, usando la punta de los dedos.
Doblar la parte inferior de la masa sobresaliente sobre el borde superior, trabajando su camino alrededor de la corteza, y pellizcar el overhang firmemente a la parte superior de la corteza.
Crígete el borde apretado, apretando un poco de masa con el pulgar y el forefinger de una mano y usando el dedo índice en la otra mano para empujar una pequeña puntilla en la masa pellizcada. Continúe pellizcando y tocando todo el camino hasta que la corteza esté apretada. Repita con la masa restante y el relleno. Transfiera los pasteles a la hoja de horneado preparada.
Batir el huevo con leche en un tazón pequeño hasta que se combinen a fondo. Pincel superior de cada pastel de mano con mezcla de huevo y rociar con aproximadamente 1/4 cucharadita de azúcar blanco. Corte 3 pequeños agujeros de ventilación en la parte superior de cada pastel.
Hornea en el horno precalentado hasta que los pasteles estén dorados y el relleno esté en bubbling, de 25 a 30 minutos. Deja enfriar por lo menos 15 minutos antes de servir.











Dotdash Meredith Food Studios",4.7,https://www.allrecipes.com/recipe/234374/apple-hand-pies/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 42g 54%, Saturated Fat 13g 64%, Cholesterol 62mg 21%, Sodium 754mg 33%, Total Carbohydrate 82g 30%, Dietary Fiber 6g 23%, Total Sugars 31g, Protein 9g, Vitamin C 5mg 27%, Calcium 38mg 3%, Iron 4mg 19%, Potassium 215mg 5%","Tiempo de preparación: 25 minutos, Tiempo de cocción: 35 minutos, Tiempo adicional: 15 minutos, Tiempo total: 1 hrs 15 minutos, Servings: 4, Yield: 4 pies de mano",https://www.allrecipes.com/thmb/euXNMeXiywj4v6L_dLhpSqwsN0g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/234374-apple-hand-pies-mfs-1-8458cf2b0e764a7ab31c2d6aa0e3e841.jpg
23,Increíble mantequilla de manzana,10 minutos,10 hrs 25 mins,10 hrs 40 mins,48,6 tazas,"10 libras de manzanas, acuarteladas, 4 tazas de jugo de manzana sin azúcar, 1 taza de azúcar blanco, 1 cucharada de vinagre de manzana, 1 1⁄2 cucharaditas de canela molida, 1⁄2 cucharadita de coágulos de tierra, 1⁄2 cucharadita de hierba picada, 6 jarros de media punta con tapas y anillos","Combine manzanas y jugo de manzana en un depósito; cocine a fuego lento. Reduzca el calor y cocine en un simmer hasta que las manzanas estén suaves y mushy, de 20 a 30 minutos.
Manzanas de cuchara en un molino de alimentos y se procesan en puré mientras se descartan los núcleos y las cáscaras que quedan en el molino. Transferir manzanas de proceso a una cocina lenta.
Cocinar en el Alto con la tapa apagada hasta que la humedad se evapore y el volumen disminuye alrededor de la mitad, durante la noche a 24 horas.
Azúcar de picante, vinagre de manzana, canela, clavos y colmillos a través del puré de manzana.
Continúe cocinando en Alto hasta que la mezcla se fusione en una placa refrigerada sin ningún agua que se separe de los bordes, de 2 a 6 horas.
Esterilizar los frascos y tapas en agua hirviendo durante al menos 5 minutos. Empaque la mantequilla de manzana en los frascos calientes y esterilizados, llenando los frascos a 1/4 pulgada de la parte superior. Ejecute un cuchillo o una espátula delgada alrededor del interior de los frascos después de haber sido llenados para eliminar cualquier burbuja de aire. Limpia los bordes de los frascos con una toalla de papel húmedo para eliminar cualquier residuo de alimentos. Top con tapas y tornillo en anillos.
Coloque un estante en la parte inferior de un almacén grande y rellene a mitad de camino con agua. Llevar a un hervir y bajar los frascos en el agua hirviendo usando un soporte. Deja un espacio de 2 pulgadas entre los frascos. Vierta en agua más hirviendo si es necesario para llevar el nivel de agua a por lo menos 1 pulgada por encima de las copas. Llevar el agua a un hirviendo, cubrir la olla y procesar de 5 a 10 minutos.
Retire los frascos del almacén y colóquese sobre una superficie cubierta de tela o de madera, varias pulgadas separadas, hasta que esté fresco. Una vez fresco, presione la parte superior de cada tapa con un dedo, asegurando que el sello esté apretado (la tapa no se mueve hacia arriba o hacia abajo en absoluto). Almacene en un área fresca y oscura.",4.9,https://www.allrecipes.com/recipe/229892/amazing-apple-butter/,/Side Dish/Sauces and Condiments/Canning and Preserving Recipes/Fruit Butter Recipes/,"Total Fat 0g 0%, Sodium 2mg 0%, Total Carbohydrate 20g 7%, Dietary Fiber 2g 8%, Total Sugars 16g, Protein 0g, Vitamin C 5mg 23%, Calcium 8mg 1%, Iron 0mg 1%, Potassium 127mg 3%","Tiempo de preparación: 10 minutos, Tiempo de cocción: 10 hrs 25 minutos, Tiempo adicional: 5 minutos, Tiempo total: 10 hrs 40 minutos, Servings: 48, Yield: 6 tazas",https://www.allrecipes.com/thmb/x6vOON48-nGa1EFyDtv3yP_-yNE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4097964-91fe5b73052648c7a2dad2ee8283ad23.jpg
